Test,State,Correct?,Time(ms)
1,success,TRUE,3552.319
2,success,TRUE,974.78
3,success,TRUE,2506.295
4,success,TRUE,3482.125
5,success,TRUE,1543.319
6,success,FALSE,1841.416
7,success,FALSE,805.845
8,success,TRUE,1989.273
9,success,FALSE,3642.902
10,success,FALSE,1679.898
11,success,TRUE,930.705
12,success,FALSE,1364.881
13,success,FALSE,1448.946
14,success,FALSE,1733.872
15,success,FALSE,5206.027
16,success,TRUE,986.76
17,success,FALSE,1351.191
18,success,TRUE,5324.742
19,success,FALSE,2374.422
20,success,TRUE,1286.834
21,success,TRUE,3292.062
22,success,TRUE,1748.843
23,success,TRUE,1839.277
24,success,FALSE,1475.227
25,success,TRUE,2019.023
26,success,TRUE,1662.8
27,success,FALSE,3015.226
28,success,FALSE,4881.311
29,success,TRUE,1293.458
30,success,TRUE,737.278
31,success,TRUE,1450.057
32,success,FALSE,1965.997
33,success,FALSE,1644.274
34,success,FALSE,1347.763
35,success,TRUE,2196.679
36,success,TRUE,1426.815
37,success,TRUE,1024.231
38,success,FALSE,1527.322
39,success,TRUE,3670.756
40,success,TRUE,1795.641
41,success,FALSE,1999.913
42,success,TRUE,1766.257
43,success,FALSE,2122.1
44,success,TRUE,3226.209
45,success,FALSE,1575.717
46,success,FALSE,1028.349
47,success,TRUE,1174.783
48,success,FALSE,1072.313
49,success,TRUE,2419.754
50,success,FALSE,1796.456
51,success,FALSE,872.497
52,success,FALSE,1931.262
53,success,TRUE,1657.139
54,success,TRUE,2756.984
55,success,FALSE,4015.567
56,success,TRUE,2996.904
57,success,FALSE,7418.562
58,success,FALSE,5882.911
59,success,TRUE,2137.508
60,failure,N/A,NaN
61,success,FALSE,2266.54
62,success,TRUE,1265.235
63,success,FALSE,3219.399
64,success,TRUE,1240.429
65,success,FALSE,1014.071
66,success,FALSE,1440.439
67,success,FALSE,1171.751
68,success,FALSE,3324.78
69,success,TRUE,1400.336
70,success,TRUE,712.027
71,success,TRUE,1644.415
72,success,FALSE,2397.823
73,success,FALSE,1768.03
74,failure,N/A,NaN
75,success,FALSE,1572.881
76,success,FALSE,751.041
77,success,TRUE,2514.655
78,success,TRUE,2083.648
79,success,FALSE,1087.21
80,success,FALSE,1884.348
81,success,TRUE,2892.635
82,success,FALSE,8516.728
83,success,TRUE,2544.587
84,success,TRUE,1184.08
85,success,FALSE,2007.772
86,success,TRUE,1668.852
87,success,FALSE,2897.446
88,success,TRUE,1079.948
89,success,FALSE,3223.022
90,success,TRUE,2148.97
91,success,TRUE,1030.486
92,success,FALSE,2827.491
93,success,TRUE,1422.194
94,success,TRUE,4480.588
95,success,FALSE,1215.605
96,success,TRUE,2023.832
97,success,TRUE,1419.215
98,success,TRUE,2024.514
99,success,TRUE,858.498
100,failure,N/A,NaN
101,success,TRUE,3219.518
102,success,TRUE,2034.28
103,success,FALSE,975.677
104,success,FALSE,2710.477
105,success,TRUE,4537.917
106,success,TRUE,2264.211
107,success,FALSE,1308.076
108,success,FALSE,2959.658
109,success,FALSE,2216.697
110,success,FALSE,2567.919
111,success,TRUE,2441.984
112,success,TRUE,1767.476
113,success,FALSE,1466.116
114,success,TRUE,1417.663
115,success,FALSE,1663.949
116,success,FALSE,1242.126
117,success,TRUE,1182.723
118,success,TRUE,1383.38
119,success,FALSE,782.346
120,success,FALSE,2027.463
121,success,TRUE,2517.028
122,success,TRUE,2723.981
123,success,TRUE,1388.706
124,success,TRUE,1913.374
125,success,TRUE,1771.216
126,success,FALSE,1538.046
127,success,FALSE,2272.254
128,success,TRUE,2756.555
129,success,FALSE,2248.178
130,success,TRUE,1021.479
131,success,FALSE,3789.186
132,success,TRUE,1989.044
133,success,TRUE,3409.276
134,success,TRUE,1716.326
135,success,FALSE,1487.873
136,success,TRUE,1171.163
137,success,TRUE,1926.399
138,success,TRUE,2787.302
139,success,FALSE,1738.915
140,success,TRUE,2920.861
141,success,TRUE,2632.224
142,success,FALSE,1298.213
143,success,FALSE,2312.017
144,success,TRUE,3788.758
145,success,FALSE,5979.031
146,success,FALSE,1366.811
147,success,TRUE,5195.284
148,success,FALSE,5509.899
149,success,TRUE,2397.421
150,success,FALSE,1220.172
151,success,TRUE,2315.943
152,success,TRUE,1700.35
153,failure,N/A,NaN
154,success,TRUE,991.899
155,success,TRUE,823.003
156,success,TRUE,4612.912
157,success,TRUE,2960.655
158,success,TRUE,3569.752
159,success,FALSE,5204.761
160,success,FALSE,2847.939
161,success,TRUE,4354.546
162,success,TRUE,3046.304
163,success,TRUE,1824.432
164,success,FALSE,2108.972
165,success,FALSE,2672.14
166,success,FALSE,2414.576
167,success,FALSE,1759.955
168,success,TRUE,6366.271
169,success,FALSE,3045.32
170,success,FALSE,1663.779
171,success,FALSE,3933.415
172,success,TRUE,2332.023
173,success,FALSE,4811.443
174,success,TRUE,3413.92
175,success,TRUE,3399.283
176,success,TRUE,1990.681
177,failure,N/A,NaN
178,success,TRUE,1342.635
179,success,FALSE,1821.909
180,success,FALSE,3775.365
181,success,TRUE,5406.83
182,success,FALSE,4600.661
183,failure,N/A,NaN
184,success,TRUE,3932.79
185,success,TRUE,6656.926
186,success,FALSE,4846.636
187,success,FALSE,3545.086
188,success,TRUE,1809.571
189,failure,N/A,NaN
190,failure,N/A,NaN
191,success,FALSE,4405.787
192,success,FALSE,2644.34
193,success,TRUE,1663.674
194,failure,N/A,NaN
195,success,FALSE,1895.384
196,success,TRUE,3678.086
197,success,FALSE,1392.808
198,success,TRUE,1341.875
199,success,TRUE,3095.897
200,success,TRUE,4731.537
201,success,FALSE,3440.327
202,success,TRUE,2296.532
203,success,FALSE,2171.044
204,success,FALSE,2072.286
205,success,FALSE,5403.612
206,success,TRUE,8433.141
207,success,TRUE,1986.614
208,success,TRUE,5219.27
209,success,FALSE,5098.697
210,success,TRUE,2090.146
211,success,FALSE,4631.547
212,success,FALSE,4651.576
213,success,FALSE,1700.804
214,success,FALSE,3745.703
215,success,TRUE,7162.607
216,success,FALSE,3556.68
217,success,FALSE,3815.295
218,success,FALSE,5108.238
219,success,TRUE,3648.894
220,success,FALSE,3550.86
221,success,TRUE,3780.423
222,success,FALSE,1649.034
223,success,TRUE,1864.207
224,success,FALSE,4459.71
225,success,TRUE,3074.679
226,success,FALSE,4353.572
227,success,TRUE,6353.073
228,success,TRUE,4867.659
229,success,TRUE,7007.574
230,success,TRUE,7048.132
231,success,TRUE,1694.581
232,success,FALSE,4879.806
233,success,TRUE,1667.972
234,success,TRUE,6424.737
235,success,FALSE,3192.042
236,success,TRUE,1595.237
237,success,TRUE,4801.444
238,success,TRUE,11757.008
239,success,FALSE,3983.293
240,success,FALSE,5545.356
241,success,FALSE,1676.709
242,success,FALSE,4726.135
243,success,TRUE,5476.307
244,success,TRUE,3453.466
245,success,TRUE,1625.231
246,success,TRUE,4008.022
247,success,FALSE,1888.55
248,success,FALSE,2243.44
249,success,FALSE,3616.183
250,success,FALSE,2894.764
251,success,FALSE,4132.801
252,success,FALSE,2605.136
253,success,TRUE,5364.569
254,success,TRUE,4875.472
255,success,FALSE,6744.207
256,success,TRUE,7092.164
257,success,TRUE,2613.809
258,success,TRUE,4079.217
259,success,FALSE,2061.433
260,success,TRUE,6558.792
