Test,State,Correct?,Time(ms)
1,success,True,3552.319
3,success,True,2506.295
4,success,True,3482.125
5,success,True,1543.319
6,success,False,1841.416
7,success,False,805.845
8,success,True,1989.273
9,success,False,3642.902
11,success,True,930.705
12,success,False,1364.881
13,success,False,1448.946
14,success,False,1733.872
15,success,False,5206.027
16,success,True,986.76
17,success,False,1351.191
18,success,True,5324.742
20,success,True,1286.834
21,success,True,3292.062
23,success,True,1839.277
24,success,False,1475.227
25,success,True,2019.023
26,success,True,1662.8
27,success,False,3015.226
29,success,True,1293.458
30,success,True,737.278
31,success,True,1450.057
32,success,False,1965.997
33,success,False,1644.274
34,success,False,1347.763
35,success,True,2196.679
36,success,True,1426.815
37,success,True,1024.231
38,success,False,1527.322
39,success,True,3670.756
40,success,True,1795.641
41,success,False,1999.913
42,success,True,1766.257
43,success,False,2122.1
44,success,True,3226.209
45,success,False,1575.717
46,success,False,1028.349
47,success,True,1174.783
48,success,False,1072.313
49,success,True,2419.754
50,success,False,1796.456
51,success,False,872.497
52,success,False,1931.262
53,success,True,1657.139
54,success,True,2756.984
55,success,False,4015.567
56,success,True,2996.904
57,success,False,7418.562
59,success,True,2137.508
61,success,False,2266.54
62,success,True,1265.235
64,success,True,1240.429
65,success,False,1014.071
66,success,False,1440.439
67,success,False,1171.751
68,success,False,3324.78
69,success,True,1400.336
70,success,True,712.027
71,success,True,1644.415
73,success,False,1768.03
74,failure,,
75,success,False,1572.881
76,success,False,751.041
77,success,True,2514.655
78,success,True,2083.648
79,success,False,1087.21
80,success,False,1884.348
81,success,True,2892.635
82,success,False,8516.728
83,success,True,2544.587
84,success,True,1184.08
85,success,False,2007.772
86,success,True,1668.852
87,success,False,2897.446
88,success,True,1079.948
89,success,False,3223.022
91,success,True,1030.486
92,success,False,2827.491
93,success,True,1422.194
94,success,True,4480.588
95,success,False,1215.605
96,success,True,2023.832
97,success,True,1419.215
98,success,True,2024.514
99,success,True,858.498
100,failure,,
101,success,True,3219.518
102,success,True,2034.28
103,success,False,975.677
104,success,False,2710.477
105,success,True,4537.917
106,success,True,2264.211
107,success,False,1308.076
108,success,False,2959.658
109,success,False,2216.697
110,success,False,2567.919
111,success,True,2441.984
112,success,True,1767.476
113,success,False,1466.116
114,success,True,1417.663
115,success,False,1663.949
116,success,False,1242.126
117,success,True,1182.723
118,success,True,1383.38
119,success,False,782.346
121,success,True,2517.028
122,success,True,2723.981
123,success,True,1388.706
124,success,True,1913.374
125,success,True,1771.216
126,success,False,1538.046
128,success,True,2756.555
129,success,False,2248.178
130,success,True,1021.479
132,success,True,1989.044
133,success,True,3409.276
134,success,True,1716.326
136,success,True,1171.163
137,success,True,1926.399
138,success,True,2787.302
139,success,False,1738.915
140,success,True,2920.861
141,success,True,2632.224
142,success,False,1298.213
143,success,False,2312.017
144,success,True,3788.758
145,success,False,5979.031
146,success,False,1366.811
147,success,True,5195.284
150,success,False,1220.172
151,success,True,2315.943
152,success,True,1700.35
153,failure,,
154,success,True,991.899
155,success,True,823.003
156,success,True,4612.912
158,success,True,3569.752
159,success,False,5204.761
160,success,False,2847.939
161,success,True,4354.546
162,success,True,3046.304
163,success,True,1824.432
165,success,False,2672.14
166,success,False,2414.576
167,success,False,1759.955
168,success,True,6366.271
169,success,False,3045.32
170,success,False,1663.779
172,success,True,2332.023
173,success,False,4811.443
174,success,True,3413.92
175,success,True,3399.283
177,failure,,
178,success,True,1342.635
179,success,False,1821.909
180,success,False,3775.365
181,success,True,5406.83
182,success,False,4600.661
183,failure,,
184,success,True,3932.79
187,success,False,3545.086
188,success,True,1809.571
189,failure,,
190,failure,,
192,success,False,2644.34
193,success,True,1663.674
194,failure,,
195,success,False,1895.384
197,success,False,1392.808
198,success,True,1341.875
199,success,True,3095.897
200,success,True,4731.537
201,success,False,3440.327
202,success,True,2296.532
204,success,False,2072.286
205,success,False,5403.612
206,success,True,8433.141
207,success,True,1986.614
208,success,True,5219.27
209,success,False,5098.697
210,success,True,2090.146
212,success,False,4651.576
213,success,False,1700.804
215,success,True,7162.607
216,success,False,3556.68
217,success,False,3815.295
218,success,False,5108.238
220,success,False,3550.86
221,success,True,3780.423
222,success,False,1649.034
223,success,True,1864.207
224,success,False,4459.71
225,success,True,3074.679
226,success,False,4353.572
227,success,True,6353.073
228,success,True,4867.659
230,success,True,7048.132
231,success,True,1694.581
232,success,False,4879.806
233,success,True,1667.972
235,success,False,3192.042
236,success,True,1595.237
238,success,True,11757.008
241,success,False,1676.709
242,success,False,4726.135
243,success,True,5476.307
244,success,True,3453.466
245,success,True,1625.231
246,success,True,4008.022
247,success,False,1888.55
248,success,False,2243.44
249,success,False,3616.183
250,success,False,2894.764
252,success,False,2605.136
253,success,True,5364.569
255,success,False,6744.207
257,success,True,2613.809
258,success,True,4079.217
259,success,False,2061.433
260,success,True,6558.792
