Test,State,Correct?,Time(ms)
2,success,TRUE,974.78
10,success,FALSE,1679.898
19,success,FALSE,2374.422
22,success,TRUE,1748.843
28,success,FALSE,4881.311
58,success,FALSE,5882.911
60,failure,N/A,NaN
63,success,FALSE,3219.399
72,success,FALSE,2397.823
90,success,TRUE,2148.97
120,success,FALSE,2027.463
127,success,FALSE,2272.254
131,success,FALSE,3789.186
135,success,FALSE,1487.873
148,success,FALSE,5509.899
149,success,TRUE,2397.421
157,success,TRUE,2960.655
164,success,FALSE,2108.972
171,success,FALSE,3933.415
176,success,TRUE,1990.681
185,success,TRUE,6656.926
186,success,FALSE,4846.636
191,success,FALSE,4405.787
196,success,TRUE,3678.086
203,success,FALSE,2171.044
211,success,FALSE,4631.547
214,success,FALSE,3745.703
219,success,TRUE,3648.894
229,success,TRUE,7007.574
234,success,TRUE,6424.737
237,success,TRUE,4801.444
239,success,FALSE,3983.293
240,success,FALSE,5545.356
251,success,FALSE,4132.801
254,success,TRUE,4875.472
256,success,TRUE,7092.164
